Time,Velocity,Projectile,Angle,Laminate,Residual Velcity
0.000075,350,Round,30,PF,221.9465179
0.000150017,350,Round,30,PF,153.5128784
0.000225022,350,Round,30,PF,111.6571045
0.000300008,350,Round,30,PF,95.15711975
0.000375022,350,Round,30,PF,94.63939667
0.00045002,350,Round,30,PF,94.09406281
0.000525019,350,Round,30,PF,91.15892029
0.000600015,350,Round,30,PF,85.50508118
0.00067502,350,Round,30,PF,77.00556183
0.000750026,350,Round,30,PF,69.27359009
0.000825019,350,Round,30,PF,61.32637405
0.000900016,350,Round,30,PF,55.27693558
0.000975014,350,Round,30,PF,50.25769424
0.001050015,350,Round,30,PF,48.1279335
0.001125014,350,Round,30,PF,47.82912064
0.001200004,350,Round,30,PF,47.86953354
0.001275022,350,Round,30,PF,47.92005539
0.00135001,350,Round,30,PF,47.97096252
0.001425026,350,Round,30,PF,47.97097397
0.0015,350,Round,30,PF,47.97096252
0,400,Round,30,PF,400
0.00004,400,Round,30,PF,303.7392273
0.00008,400,Round,30,PF,250.6264191
0.00012002,400,Round,30,PF,220.0989532
0.00016002,400,Round,30,PF,194.4348602
0.000200006,400,Round,30,PF,188.3857269
0.000240025,400,Round,30,PF,186.9615936
0.000280023,400,Round,30,PF,185.1543121
0.000320006,400,Round,30,PF,183.4412231
0.000360005,400,Round,30,PF,181.9632111
0.000400013,400,Round,30,PF,180.6896667
0.000440003,400,Round,30,PF,179.6606445
0.000480007,400,Round,30,PF,178.87146
0.000520012,400,Round,30,PF,177.5604553
0.000560021,400,Round,30,PF,173.5213013
0.000600024,400,Round,30,PF,171.5676575
0.000640007,400,Round,30,PF,167.4607086
0.000680007,400,Round,30,PF,167.1900024
0.000720003,400,Round,30,PF,167.2104797
0.000760021,400,Round,30,PF,167.2494202
0.0008,400,Round,30,PF,167.2971191
0,450,Round,30,PF,450
0.00004,450,Round,30,PF,333.2442322
0.00008,450,Round,30,PF,285.1185913
0.000120007,450,Round,30,PF,265.0786743
0.000160006,450,Round,30,PF,258.8417053
0.0002,450,Round,30,PF,256.9103394
0.000240005,450,Round,30,PF,254.9534149
0.000280025,450,Round,30,PF,252.8250122
0.000320017,450,Round,30,PF,250.880722
0.000360016,450,Round,30,PF,249.5111542
0.000400017,450,Round,30,PF,247.3723145
0.000440011,450,Round,30,PF,244.1207886
0.000480017,450,Round,30,PF,239.8780518
0.000520005,450,Round,30,PF,239.6774902
0.000560014,450,Round,30,PF,239.6706848
0.000600005,450,Round,30,PF,239.7121735
0.000640017,450,Round,30,PF,239.7661896
0.000680018,450,Round,30,PF,239.8423309
0.000720018,450,Round,30,PF,239.9336548
0.000760009,450,Round,30,PF,240.0437622
0.0008,450,Round,30,PF,240.1684723
0,500,Round,30,PF,500
0.00004,500,Round,30,PF,362.778717
0.00008,500,Round,30,PF,320.3316345
0.000120004,500,Round,30,PF,313.4716797
0.000160006,500,Round,30,PF,312.109436
